name;bib;position
Jason Germann;91;Gardien
Dylan Chételat;2;Défenseur
Arnaud Bron;3;Défenseur
Gaëtan Beuret;4;Défenseur
Alan Marquis;5;Défenseur
Nolan Bron;6;Milieu
Daniel De Ancos;7;Milieu
Hugo    De Ancos;8;Milieu
Garry Germann;9;Attaquant
Kilian Frund;10;Milieu
Colin Beuret;11;Défenseur
Lorry Chételat;12;Milieu
Théo Mosimann;13;Attanquant
Steven Rebetez;14;Défenseur
Arnaud Dobler;15;Milieu
Dan Rebetez;16;Défenseur
Léandre Koller;17;Milieu
Stève Chételat;18;Défenseur
Léo Stebler;19;Milieu
Antoine Bron;20;Milieu
Colin Bron;21;Attaquant
Thomas Lovis;28;Défenseur
Thierry Bühler;;Entraîneur
Jean-Michel Bron;;Entraîneur

